RPM	kW
750	4.939486588
800	5.853244485
850	6.767002381
900	7.680760277
950	8.594518174
1000	9.555964054
1050	10.76644718
1100	12.02461829
1150	13.28278941
1200	14.54096052
1250	15.94976257
1300	18.03640386
1350	20.27367608
1400	22.51094831
1450	24.74822054
1500	26.95797184
1550	28.6264782
1600	30.26746364
1650	31.90844908
1700	33.55019798
1750	35.20605089
1800	36.44310207
1850	37.45454453
1900	38.43626356
1950	39.41798259
2000	40.41058411
2050	41.4487884
2100	42.49787518
2150	43.54696195
2200	44.59604872
2250	45.56775254
2300	46.50573222
2350	47.49111634
2400	48.47650045
2450	49.46188457
2500	50.44530458
2550	51.4094406
2600	52.37161252
2650	53.33378443
2700	54.27227043
2750	55.18837352
2800	56.1595645
2850	57.14390145
2900	58.1282384
2950	59.11257535
3000	60.09419369
3050	61.05768799
3100	62.01705404
3150	62.92426311
3200	63.79341169
3250	64.64922098
3300	65.24353657
3350	65.82805711
3400	66.41342345
3450	66.99878978
3500	67.50403442
3550	67.65246574
3600	67.76878819
3650	67.90271533
3700	68.03664248
3750	68.18918206
3800	68.43891993
3850	68.70727025
3900	68.97562056
3950	69.23924909
4000	69.49
4050	69.13910898
4100	68.59632566
4150	67.98318185
4200	67.37003803
4250	66.79524851
