Time;OBD Alternator currents;OBD Battery currents;OBD Engine load percentage;OBD velocity
1;-109,634;69,155;36,1;0
2;-98,704;58,584;33,7;0
3;-87,88;52,334;30,2;0
4;-82,719;47,433;30,2;0
5;-78,863;42,9;29,8;0
6;-75,865;40,577;27,5;0
7;-73,811;37,558;26,7;0
8;-76,708;35,253;26,7;0
9;-75,976;33,278;27,1;0
10;-74,192;31,052;26,7;0
11;-82,212;29,593;26,7;0
12;-82,23;30,141;47,1;0
13;-80,546;28,946;25,9;6,14
14;-63,305;27,957;58,4;11,4
15;-82,122;27,054;33,3;12,38
16;-62,707;27,104;25,5;16,2
17;-52,106;26,294;49,8;21,12
18;-46,82;26,045;68,2;26,78
19;-61,075;25,192;74,1;27,06
20;-61,45;24,756;10,2;28,82
21;-60,749;24,18;32,5;29,6
22;-60,369;24,154;29,4;30,54
23;-59,88;23,141;31,4;31,36
24;-67,084;22,941;31,8;32,02
25;-68,991;22,305;34,5;32,86
26;-33,301;5,6;44,7;33,6
27;0;-50,52;72,9;37,76
28;0;-24,166;24,3;41,34
29;0;-24,178;69,8;42,14
30;0;-47,096;67,5;41,52
31;0;-41,92;29,4;41,32
32;0;-42,582;38,8;42,34
33;0;-42,92;38,4;43,02
34;0;-44,153;30,2;42,64
35;-2,174;-41,879;11;41,42
36;-90,726;47,879;0;39,32
37;-80,174;40,881;2,7;36,04
38;-70,928;31,666;1,2;32,78
39;-66,327;25,521;16,9;30,52
40;-77,486;28,625;0;27,62
41;-80,997;26,036;0;23,62
42;-61,416;22,124;0;21,22
43;-65,613;24,59;0;19,1
44;-58,137;19,027;1,6;19,38
45;-0,514;-42,822;17,6;19,48
46;0;-43,943;23,9;19,06
47;0;-45,698;22;19,86
48;0;-46,057;5,5;19,62
49;-82,53;43,872;0,4;17,9
50;-68,933;33,866;0;15,78
51;-61,218;26,521;0,4;13,8
52;-46,104;7,657;14,5;12,48
53;0;-40,322;27,5;12
54;0;-41,159;30,6;12,48
55;0;-41,082;18,4;13,42
56;0;-41,022;16,5;14
57;0;-40,992;17,6;14,1
58;0;-41,329;22,7;13,9
59;0;-41,723;37,3;13,8
60;0;-42,023;32,9;14,36
61;0;-43,026;22,4;16,06
62;0;-42,656;14,1;17,22
63;0;-42,541;22;16,98
64;0;-43,333;24,7;18,2
65;0;-44,195;23,5;20,04
66;0;-44,24;22;22,52
67;-0,194;-43,928;25,5;25,42
68;-1,32;-40,296;29,4;25,8
69;0;-24,889;47,5;29,24
70;-3,579;-44,107;32,9;34,02
71;0;-25,03;56,5;35,94
72;0;-24,568;74,5;36,92
73;-2,655;-43,323;5,9;37,94
74;-0,861;-41,187;30,6;38,54
75;-1,503;-40,627;37,3;39,02
76;-2,045;-40,241;35,7;39,02
77;-2,767;-40,583;34,5;38,14
78;-4,337;-40,433;28,2;36,82
79;-8,309;-37,06;8,2;35,3
80;-86,855;45,678;0,4;34,32
81;-63,825;24,65;16,1;34,52
82;-58,956;20,031;25,1;35
83;-56,92;17,057;23,9;35,56
84;-69,962;29,275;6,3;35,74
85;-53,449;15,176;12,5;34,5
86;-49,147;9,814;24,3;32,34
87;-46,811;8,965;11;29,42
88;-82,707;40,453;0;25,9
89;-82,326;40,149;0;20,16
90;-75,813;37,191;0;16,96
91;-70,186;31,367;16,5;13,06
92;-73,09;33,405;0;9,78
93;-67,256;30,874;3,1;7,4
94;-60,841;24,242;24,7;4,7
95;-49,172;11,284;22;0
96;-23,53;-16,638;19,2;0
97;-0,5;-40,455;15,7;0
98;0;-41,666;15,3;0
99;0;-41,78;16,1;0
100;0;-41,64;16,5;0
101;0;-37,961;16,9;0
102;0;-37,995;16,9;0
103;0;-38,017;16,9;0
104;0;-38,264;17,6;0
105;0;-37,876;17,3;0
106;0;-38,129;17,6;0
107;0;-38,753;17,3;0
108;0;-38,678;17,3;0
109;0;-38,629;17,3;0
110;0;-38,588;17,6;0
111;0;-38,59;17,6;0
112;0;-38,739;17,6;0
113;0;-38,539;17,6;0
114;0;-38,511;17,6;0
115;0;-38,599;17,6;0
116;0;-38,677;17,6;0
117;-0,334;-37,626;17,6;0
118;0;-38,15;17,6;0
119;0;-38,677;17,6;0
120;0;-38,703;17,6;0
121;0;-38,606;17,3;0
122;0;-38,652;17,3;0
123;0;-38,775;17,3;0
124;-0,707;-37,133;17,6;0
125;0;-37,815;17,6;0
126;0;-38,454;17,6;0
127;0;-38,718;17,6;0
128;0;-38,668;17,6;0
129;0;-38,571;17,6;0
130;0;-38,685;17,6;0
131;-1,663;-36,477;17,6;0
132;-0,726;-37,078;17,6;0
133;0;-38,259;17,3;0
134;0;-38,573;17,3;0
135;0;-38,566;17,3;0
136;0;-38,592;17,3;0
137;0;-38,424;19,2;0
138;-13,524;-22,457;45,1;0
139;-62,399;28,104;44,3;1,7
140;-56,935;16,979;35,7;7,48
141;0;-44,923;24,7;13,7
142;-3,499;-39,615;3,5;16,4
143;-49,082;10,911;26,7;17,92
144;-64,67;29,489;31,4;19,74
145;-61,562;24,588;34,9;21,06
146;-6,605;-33,222;35,3;23,08
147;0;-43,726;29;25,28
148;-2,425;-41,925;23,5;27,26
149;-7,224;-36,564;21,2;28,74
150;-9,581;-35,434;19,2;29,9
151;-49,961;3,8;1,6;29,96
152;-108,767;69,239;0;27,88
153;-97,746;59,445;0;23,68
154;-88,66;53,091;0,8;19,22
155;-77,804;46,184;13,7;16,04
156;-35,812;0,775;32,5;13,96
157;-37,103;2,054;42,4;12,72
158;-38,678;3,949;42,4;13,94
159;-27,132;4,27;46,3;17,62
160;-39,223;-0,552;36,1;23,2
161;0;-42,325;28,2;25,94
162;0;-43,662;28,2;26,04
163;0;-44,064;14,9;27,26
164;-1,701;-37,707;22,4;28,04
165;-62,43;27,516;37,6;29,12
166;-40,548;21,742;43,9;30,5
167;-35,44;16,671;45,5;32,16
168;0;-42,481;32,9;34,24
169;0;-43,576;29,4;36,06
170;0;-44,39;16,5;37,38
171;-54,161;8,617;0,4;37,16
172;-100,291;60,655;0;35,38
173;-85,659;48,811;0;32,4
174;-77,818;45,053;13,7;29,96
175;-62,919;25,566;16,1;27,6
176;0;-43,195;20;24,18
177;0;-39,719;6,7;23,44
178;-53,603;18,981;40,8;25,72
179;-51,645;15,188;33,7;28,26
180;-50,765;12,133;20,8;29,44
181;-48,65;10,745;8,6;29,22
182;-56,406;15,968;5,5;29,46
183;-78,012;42,455;0,8;28,34
184;-74,47;39,229;22,4;27,1
185;-72,785;37,685;0;25,84
186;-70,631;36,147;0;22,72
187;-67,587;34,788;0;20,52
188;-64,531;33,406;0;18,26
189;-63,077;31,912;4,7;16,28
190;-48,087;16,865;18,4;15,22
191;-13,465;-21,603;28,2;15,38
192;-22,46;-12,327;27,5;14,08
193;-25,419;-9,495;18;12,98
194;-28,376;-7,395;18;12,28
195;-27,858;-7,814;20,8;12,38
196;-31,18;-4,15;22,7;12,72
197;-33,199;-2,24;24,3;13,24
198;-32,583;-2,328;24,3;13,6
199;-32,213;-3,113;27,5;13,7
200;-33,649;-1,403;29,4;13,72
201;-37,233;2,219;34,5;14,6
202;-38,544;3,27;32,9;16,5
203;-39,514;3,665;30,6;18,6
204;-39,783;3,299;29,8;20,42
205;-37,604;-1,619;27,1;22,04
206;0;-41,968;25,5;23,54
207;0;-43,127;21,2;25,84
208;-17,874;-3,828;49;26,32
209;-36,246;17,513;69,4;29,52
210;-30,772;-9,088;76,9;33,98
211;-32,05;12,751;47,8;35,84
212;-29,47;10,285;69;36,88
213;-27,497;8,172;61,6;38,2
214;-45,464;5,702;51,4;39,64
215;-30,712;6,449;27,5;42,48
216;-24,811;4,997;60,8;42,34
217;-24,045;4,5;78,4;44,04
218;-22,594;2,754;85,9;46,36
219;-42,499;1,762;54,9;49,24
220;-38,464;2,607;29;52,16
221;-38,349;2,372;35,3;51,88
222;-38,035;2,419;33,3;52,06
223;-37,82;2,558;33,3;52,4
224;-37,827;2,117;34,1;52,7
225;-27,315;2,583;42,4;53,08
226;-21,711;1,95;62,7;53,38
227;-21,893;1,899;67,1;53,78
228;-37,474;2,04;36,1;54,5
229;-37,762;2,161;32,5;55,88
230;-38,182;1,879;30,6;57,18
231;-38,205;-0,439;26,3;57,3
232;-64,447;23,02;1,2;56,74
233;-69,646;32,295;0,8;55,42
234;-66,545;30,182;0,8;54,1
235;-61,189;29,97;14,9;52,94
236;-64,259;28,726;0;51,76
237;-67,613;28,146;0;50,36
238;-66,865;27,898;0;48,92
239;-65,147;26,997;0;47,38
240;-61,967;25,994;0;45,66
241;-56,827;20,81;22,4;44,44
242;-65,14;26,054;0;42,42
243;-60,822;25,042;0;40,2
244;-63,379;24,826;0;37,34
245;-63,864;24,697;0;33,26
246;-60,074;24,065;0;29,74
247;-56,493;24,462;8,6;26,52
248;-59,082;23,88;0;23,16
249;-58,978;23,56;0;22,32
250;-16,209;-19,649;10,2;21,92
251;-12,146;-26,457;16,1;20,26
252;-22,972;-15,475;6,7;18,36
253;-47,832;15,014;2,4;17,22
254;-21,587;-14,012;14,5;17,98
255;-58,128;25,342;0;17,66
256;-41,923;9,755;13,3;16,14
257;-21,152;-13,264;28,6;14,34
258;-24,325;-10,017;41,6;14,44
259;-27,964;-7,658;40;16,42
260;-29,233;-8,81;33,7;19,66
261;0;-41,456;29,4;22,62
262;0;-31,048;42,4;25,44
263;0;-37,962;2,4;28,34
264;-30,926;7,546;67,5;29,32
265;0;-44,623;22,7;33,38
266;-31,115;8,4;64,3;36,54
267;-33,577;12,546;80,8;37,52
268;-49,992;8,337;28,2;39,96
269;-28,221;6,74;41,2;42,56
270;-41,096;5,36;45,9;42,84
271;-43,034;3,728;27,1;44,96
272;-57,196;18,505;5,5;46,18
273;-69,236;31,29;0,8;45,36
274;-65,671;28,205;0,4;44,2
275;-62,398;26,114;6,3;42,26
276;-64,928;25,172;0;39,66
277;-64,595;24,681;0;35,94
278;-60,301;24,385;0;31,26
279;-60,664;23,699;0;27,86
280;-50,669;13,857;0;23,44
281;0;-23,164;27,1;22,46
282;0;-43,877;46,7;24,1
283;0;-21,52;33,3;26,22
284;-20,09;-0,184;77,3;27,3
285;0;-44,06;66,3;30,56
286;-4,564;-16,026;49;36,14
287;-27,41;7,851;87,8;37,04
288;-24,798;-7,555;31;40,86
289;-10,961;-10,487;83,5;44,66
290;-42,754;5,782;56,9;44,96
291;-43,387;3,389;24,7;47,44
292;-66,393;27,114;1,2;49,84
293;-61,997;26,131;0;49,66
294;-32,951;-3,791;18;48,52
295;-33,316;-3,668;24,3;47,18
296;-33,986;-2,897;25,9;46,2
297;-34,252;-2,916;27,1;45,98
298;-34,912;-1,823;25,5;46,12
299;-29,663;-1,896;25,5;46,5
300;-15,342;-2,109;18;46,86
301;-39,613;24,58;1,2;47,04
302;-35,384;15,624;5,5;46,38
303;-37,967;17,766;0;45,12
304;-8,668;-12,046;15,3;43,96
305;-12,928;-7,944;3,1;42,92
306;-40,783;21,717;2,4;42,42
307;-44,28;24,999;0;41,12
