Time,Driven velocity,Alternator Current [A],Low-Voltage Battery Current [A]
0,0,-109.634,69.155
1,0,-109.634,69.155
2,0,-109.634,69.155
3,0,-109.634,69.155
4,0,-109.634,69.155
5,0,-98.704,58.584
6,0,-87.88,52.334
7,0,-82.719,47.433
8,0,-78.863,42.9
9,0,-75.865,40.577
10,0,-73.811,37.558
11,0,-76.708,35.253
12,0,-75.976,33.278
13,0,-74.192,31.052
14,0,-82.212,29.593
15,0,-82.23,30.141
16,6.14,-80.546,28.946
17,11.4,-63.305,27.957
18,12.38,-82.122,27.054
19,16.2,-62.707,27.104
20,21.12,-52.106,26.294
21,26.78,-46.82,26.045
22,27.06,-61.075,25.192
23,28.82,-61.45,24.756
24,29.6,-60.749,24.18
25,30.54,-60.369,24.154
26,31.36,-59.88,23.141
27,32.02,-67.084,22.941
28,32.86,-68.991,22.305
29,33.6,-33.301,5.6
30,37.76,0,-50.52
31,41.34,0,-24.166
32,42.14,0,-24.178
33,41.52,0,-47.096
34,41.32,0,-41.92
35,42.34,0,-42.582
36,43.02,0,-42.92
37,42.64,0,-44.153
38,41.42,-2.174,-41.879
39,39.32,-90.726,47.879
40,36.04,-80.174,40.881
41,32.78,-70.928,31.666
42,30.52,-66.327,25.521
43,27.62,-77.486,28.625
44,23.62,-80.997,26.036
45,21.22,-61.416,22.124
46,19.1,-65.613,24.59
47,19.38,-58.137,19.027
48,19.48,-0.514,-42.822
49,19.06,0,-43.943
50,19.86,0,-45.698
51,19.62,0,-46.057
52,17.9,-82.53,43.872
53,15.78,-68.933,33.866
54,13.8,-61.218,26.521
55,12.48,-46.104,7.657
56,12,0,-40.322
57,12.48,0,-41.159
58,13.42,0,-41.082
59,14,0,-41.022
60,14.1,0,-40.992
61,13.9,0,-41.329
62,13.8,0,-41.723
63,14.36,0,-42.023
64,16.06,0,-43.026
65,17.22,0,-42.656
66,16.98,0,-42.541
67,18.2,0,-43.333
68,20.04,0,-44.195
69,22.52,0,-44.24
70,25.42,-0.194,-43.928
71,25.8,-1.32,-40.296
72,29.24,0,-24.889
73,34.02,-3.579,-44.107
74,35.94,0,-25.03
75,36.92,0,-24.568
76,37.94,-2.655,-43.323
77,38.54,-0.861,-41.187
78,39.02,-1.503,-40.627
79,39.02,-2.045,-40.241
80,38.14,-2.767,-40.583
81,36.82,-4.337,-40.433
82,35.3,-8.309,-37.06
83,34.32,-86.855,45.678
84,34.52,-63.825,24.65
85,35,-58.956,20.031
86,35.56,-56.92,17.057
87,35.74,-69.962,29.275
88,34.5,-53.449,15.176
89,32.34,-49.147,9.814
90,29.42,-46.811,8.965
91,25.9,-82.707,40.453
92,20.16,-82.326,40.149
93,16.96,-75.813,37.191
94,13.06,-70.186,31.367
95,9.78,-73.09,33.405
96,7.4,-67.256,30.874
97,4.7,-60.841,24.242
98,0,-49.172,11.284
99,0,-23.53,-16.638
100,0,-0.5,-40.455
101,0,0,-41.666
102,0,0,-41.78
103,0,0,-41.64
104,0,0,-37.961
105,0,0,-37.995
106,0,0,-38.017
107,0,0,-38.264
108,0,0,-37.876
109,0,0,-38.129
110,0,0,-38.753
111,0,0,-38.678
112,0,0,-38.629
113,0,0,-38.588
114,0,0,-38.59
115,0,0,-38.739
116,0,0,-38.539
117,0,0,-38.511
118,0,0,-38.599
119,0,0,-38.677
120,0,-0.334,-37.626
121,0,0,-38.15
122,0,0,-38.677
123,0,0,-38.703
124,0,0,-38.606
125,0,0,-38.652
126,0,0,-38.775
127,0,-0.707,-37.133
128,0,0,-37.815
129,0,0,-38.454
130,0,0,-38.718
131,0,0,-38.668
132,0,0,-38.571
133,0,0,-38.685
134,0,-1.663,-36.477
135,0,-0.726,-37.078
136,0,0,-38.259
137,0,0,-38.573
138,0,0,-38.566
139,0,0,-38.592
140,0,0,-38.424
141,0,-13.524,-22.457
142,1.7,-62.399,28.104
143,7.48,-56.935,16.979
144,13.7,0,-44.923
145,16.4,-3.499,-39.615
146,17.92,-49.082,10.911
147,19.74,-64.67,29.489
148,21.06,-61.562,24.588
149,23.08,-6.605,-33.222
150,25.28,0,-43.726
151,27.26,-2.425,-41.925
152,28.74,-7.224,-36.564
153,29.9,-9.581,-35.434
154,29.96,-49.961,3.8
155,27.88,-108.767,69.239
156,23.68,-97.746,59.445
157,19.22,-88.66,53.091
158,16.04,-77.804,46.184
159,13.96,-35.812,0.775
160,12.72,-37.103,2.054
161,13.94,-38.678,3.949
162,17.62,-27.132,4.27
163,23.2,-39.223,-0.552
164,25.94,0,-42.325
165,26.04,0,-43.662
166,27.26,0,-44.064
167,28.04,-1.701,-37.707
168,29.12,-62.43,27.516
169,30.5,-40.548,21.742
170,32.16,-35.44,16.671
171,34.24,0,-42.481
172,36.06,0,-43.576
173,37.38,0,-44.39
174,37.16,-54.161,8.617
175,35.38,-100.291,60.655
176,32.4,-85.659,48.811
177,29.96,-77.818,45.053
178,27.6,-62.919,25.566
179,24.18,0,-43.195
180,23.44,0,-39.719
181,25.72,-53.603,18.981
182,28.26,-51.645,15.188
183,29.44,-50.765,12.133
184,29.22,-48.65,10.745
185,29.46,-56.406,15.968
186,28.34,-78.012,42.455
187,27.1,-74.47,39.229
188,25.84,-72.785,37.685
189,22.72,-70.631,36.147
190,20.52,-67.587,34.788
191,18.26,-64.531,33.406
192,16.28,-63.077,31.912
193,15.22,-48.087,16.865
194,15.38,-13.465,-21.603
195,14.08,-22.46,-12.327
196,12.98,-25.419,-9.495
197,12.28,-28.376,-7.395
198,12.38,-27.858,-7.814
199,12.72,-31.18,-4.15
200,13.24,-33.199,-2.24
201,13.6,-32.583,-2.328
202,13.7,-32.213,-3.113
203,13.72,-33.649,-1.403
204,14.6,-37.233,2.219
205,16.5,-38.544,3.27
206,18.6,-39.514,3.665
207,20.42,-39.783,3.299
208,22.04,-37.604,-1.619
209,23.54,0,-41.968
210,25.84,0,-43.127
211,26.32,-17.874,-3.828
212,29.52,-36.246,17.513
213,33.98,-30.772,-9.088
214,35.84,-32.05,12.751
215,36.88,-29.47,10.285
216,38.2,-27.497,8.172
217,39.64,-45.464,5.702
218,42.48,-30.712,6.449
219,42.34,-24.811,4.997
220,44.04,-24.045,4.5
221,46.36,-22.594,2.754
222,49.24,-42.499,1.762
223,52.16,-38.464,2.607
224,51.88,-38.349,2.372
225,52.06,-38.035,2.419
226,52.4,-37.82,2.558
227,52.7,-37.827,2.117
228,53.08,-27.315,2.583
229,53.38,-21.711,1.95
230,53.78,-21.893,1.899
231,54.5,-37.474,2.04
232,55.88,-37.762,2.161
233,57.18,-38.182,1.879
234,57.3,-38.205,-0.439
235,56.74,-64.447,23.02
236,55.42,-69.646,32.295
237,54.1,-66.545,30.182
238,52.94,-61.189,29.97
239,51.76,-64.259,28.726
240,50.36,-67.613,28.146
241,48.92,-66.865,27.898
242,47.38,-65.147,26.997
243,45.66,-61.967,25.994
244,44.44,-56.827,20.81
245,42.42,-65.14,26.054
246,40.2,-60.822,25.042
247,37.34,-63.379,24.826
248,33.26,-63.864,24.697
249,29.74,-60.074,24.065
250,26.52,-56.493,24.462
251,23.16,-59.082,23.88
252,22.32,-58.978,23.56
253,21.92,-16.209,-19.649
254,20.26,-12.146,-26.457
255,18.36,-22.972,-15.475
256,17.22,-47.832,15.014
257,17.98,-21.587,-14.012
258,17.66,-58.128,25.342
259,16.14,-41.923,9.755
260,14.34,-21.152,-13.264
261,14.44,-24.325,-10.017
262,16.42,-27.964,-7.658
263,19.66,-29.233,-8.81
264,22.62,0,-41.456
265,25.44,0,-31.048
266,28.34,0,-37.962
267,29.32,-30.926,7.546
268,33.38,0,-44.623
269,36.54,-31.115,8.4
270,37.52,-33.577,12.546
271,39.96,-49.992,8.337
272,42.56,-28.221,6.74
273,42.84,-41.096,5.36
274,44.96,-43.034,3.728
275,46.18,-57.196,18.505
276,45.36,-69.236,31.29
