OBD velocities,OBD engine speed,OBD coolant T,OBD engine load,OBD times
0,750,23.00033204,14.47513234,0
0,750,23.02639127,14.49153257,1
0,750,23.07616218,14.52285562,2
0,750,23.12589826,14.55415675,3
0,750,23.17559956,14.58543599,4
0,750,23.12589826,14.55415675,5
0,750,23.17559956,14.58543599,6
0,750,23.22526614,14.61669338,7
0,750,23.27489804,14.64792894,8
0,750,23.32449533,14.67914272,9
0,750,23.37405806,14.71033475,10
0,750,23.42358627,14.74150506,11
0,750,23.47308003,14.77265369,12
0,750,23.52253939,14.80378066,13
0,750.0091022,23.57196439,14.83488601,14
0.514929184,757.3610965,23.62694627,14.86948856,15
2.911253966,757.6698639,23.70760011,14.92024761,16
7.096452981,888.2592913,23.83130295,14.99809931,17
11.52783769,1395.909175,24.02349277,15.11905291,18
15.17823685,1837.937057,24.2438759,15.25774982,19
18.87203565,1467.354965,24.45684496,15.39178073,20
23.54810646,1634.207333,24.76010998,15.5826389,21
26.78298856,1858.703857,25.04254288,15.76038649,22
28.10248358,1337.891964,25.20156395,15.86046553,23
28.50990533,1225.478045,25.31269513,15.93040532,24
28.74537142,1235.599388,25.42000816,15.99794218,25
29.11108404,1251.319286,25.53528768,16.07049272,26
29.89193074,1284.883427,25.67513489,16.15850479,27
31.39568219,1349.521116,25.86556149,16.27834872,28
32.9818791,1417.702664,26.06543974,16.404141,29
35.35856377,1519.862768,26.32940873,16.57026843,30
37.92229816,1630.063071,26.62612741,16.7570067,31
40.34169978,1734.059332,26.92473467,16.94493353,32
41.97148632,1318.309308,27.14770471,17.0852585,33
42.96529575,1245.18126,27.33431284,17.20269929,34
43.74759363,1267.853108,27.51061324,17.31365298,35
44.32054009,1284.457723,27.67160312,17.41497108,36
44.67497408,1294.729607,27.81603901,17.50587101,37
44.62857592,1293.384938,27.92725494,17.57586414,38
43.78175255,1268.843071,27.9816689,17.61010927,39
41.49659884,1202.616817,27.98332169,17.61114944,40
38.54311554,1117.021641,27.99929011,17.62119908,41
35.48610937,1430.632069,28.02160686,17.63524401,42
33.15438265,1425.117607,28.02454268,17.63709165,43
30.38576789,1306.110666,28.02360663,17.63650255,44
26.79707438,1151.853223,28.0283014,17.63945717,45
22.83226008,1465.606706,28.04244634,17.64835921,46
20.84353902,1446.513942,28.0807495,17.6724651,47
20.12274653,1396.4919,28.15561804,17.7195832,48
19.58038068,1358.85243,28.23178981,17.76752148,49
18.68681738,1296.840323,28.29436122,17.80690046,50
17.86276817,1239.652401,28.35420279,17.84456142,51
17.56209772,1218.786272,28.42703997,17.8904011,52
17.45905508,1211.635249,28.50636444,17.94032352,53
16.47470852,1143.322904,28.55944762,17.97373112,54
14.30991918,993.0893971,28.60025831,17.99941511,55
12.4229433,862.1357757,28.64268119,18.02611371,56
11.89058585,825.1908757,28.69127356,18.05669505,57
11.83224493,821.1420929,28.7456238,18.09090008,58
11.87751976,824.2841062,28.80217557,18.12649062,59
12.02548493,834.5526926,28.86130892,18.16370588,60
12.3648125,858.1015752,28.92636567,18.20464898,61
13.39681867,929.7214339,29.01368952,18.25960577,62
15.02673195,1042.835252,29.13162375,18.33382702,63
15.69235094,1089.028327,29.22367436,18.39175857,64
16.16249156,1121.655462,29.3132829,18.44815321,65
16.68839696,1158.152598,29.40585015,18.5064099,66
17.50593765,1214.888837,29.51128981,18.57276777,67
18.04960303,1252.618493,29.612177,18.63626057,68
18.3395809,1272.742572,29.70628815,18.6954889,69
19.31620533,1340.519011,29.82712227,18.77153519,70
21.74325839,1508.953272,30.017788,18.89152961,71
24.91146336,1728.822491,30.265502,19.04742705,72
28.25247474,1960.684247,30.55333036,19.22857025,73
31.13463078,1463.603741,30.79331844,19.37960543,74
33.5341894,1441.44333,31.03654797,19.53268059,75
35.14423182,1510.649861,31.24703031,19.6651465,76
36.15232422,1553.981997,31.42430485,19.77671325,77
37.05670227,1592.856046,31.59818401,19.88614314,78
38.06930453,1636.382035,31.78341177,20.00271521,79
39.03137151,1677.735801,31.96984422,20.12004545,80
39.56795362,1700.800403,32.13226924,20.22226674,81
39.44936753,1695.703064,32.2540302,20.29889633,82
38.89584727,1671.910388,32.34604495,20.35680531,83
38.0294345,1634.66825,32.40587089,20.39445643,84
37.11890794,1595.529912,32.47099593,20.43544252,85
36.86131602,1584.457507,32.58011008,20.50411291,86
36.34909227,1562.439932,32.66643853,20.55844324,87
35.61479341,1530.876617,32.73803617,20.60350283,88
34.95474731,1502.505004,32.81139069,20.64966809,89
34.37005168,1477.372277,32.88590123,20.69656088,90
33.05706245,1420.934367,32.9287688,20.72353935,91
29.51554158,1268.704606,32.9271315,20.72250893,92
24.50354554,1053.267513,32.93801589,20.72935896,93
18.91913023,1195.426677,32.95643237,20.74094927,94
15.07969474,1046.510799,32.97009364,20.74954691,95
12.73205001,882.4578182,32.99439086,20.76483824,96
10.26895378,753.0501157,33.02839712,20.78623989,97
7.320704833,750.0000521,33.07140358,20.81330577,98
4.583393602,750,33.11447557,20.84041289,99
