times,dyno velocities,alternator currents,battery currents
0,0,0,-87.97758861
1,0,0,-213.0938513
2,0,0,-21.42638506
3,0,0,-21.42638506
4,0,0,-21.42638506
5,0,0,-21.42638506
6,0,0,-21.42638506
7,0,0,-21.42638506
8,0,0,-21.42638506
9,0,0,-21.42638506
10,0,0,-21.42638506
11,0,0,-21.42638506
12,0,0,-21.42638506
13,0.514929184,0,-21.42638506
14,2.911253966,0,-21.42638506
15,7.096452981,0,-21.42638506
16,11.52783769,0,-21.42638506
17,15.17823685,0,-21.42638506
18,18.87203565,0,-21.42638506
19,23.54810646,0,-21.42638506
20,26.78298856,0,-21.42638506
21,28.10248358,0,-21.42638506
22,28.50990533,0,-21.42638506
23,28.74537142,0,-21.42638506
24,29.11108404,0,-21.42638506
25,29.89193074,0,-21.42638506
26,31.39568219,0,-21.42638506
27,32.9818791,0,-21.42638506
28,35.35856377,0,-21.42638506
29,37.92229816,0,-21.42638506
30,40.34169978,0,-21.42638506
31,41.97148632,0,-21.42638506
32,42.96529575,0,-21.42638506
33,43.74759363,0,-21.42638506
34,44.32054009,0,-21.42638506
35,44.67497408,0,-21.42638506
36,44.62857592,0,-21.42638506
37,43.78175255,-56.76759025,35.33251709
38,41.49659884,-101.3706969,79.92879735
39,38.54311554,-101.3706969,79.92879735
40,35.48610937,-101.3706969,79.92879735
41,33.15438265,-101.3706969,79.92879735
42,30.38576789,-101.3706969,79.92879735
43,26.79707438,-101.3706969,79.92879735
44,22.83226008,-101.3706969,79.92879735
45,20.84353902,-44.60310662,23.1698952
46,20.12274653,0,-21.42638506
47,19.58038068,0,-21.42638506
48,18.68681738,0,-21.42638506
49,17.86276817,0,-21.42638506
50,17.56209772,0,-21.42638506
51,17.45905508,0,-21.42638506
52,16.47470852,-56.76759025,35.33251709
53,14.30991918,-101.3706969,79.92879735
54,12.4229433,-44.60310662,23.1698952
55,11.89058585,0,-21.42638506
56,11.83224493,0,-21.42638506
57,11.87751976,0,-21.42638506
58,12.02548493,0,-21.42638506
59,12.3648125,0,-21.42638506
60,13.39681867,0,-21.42638506
61,15.02673195,0,-21.42638506
62,15.69235094,0,-21.42638506
63,16.16249156,0,-21.42638506
64,16.68839696,0,-21.42638506
65,17.50593765,0,-21.42638506
66,18.04960303,0,-21.42638506
67,18.3395809,0,-21.42638506
68,19.31620533,0,-21.42638506
69,21.74325839,0,-21.42638506
70,24.91146336,0,-21.42638506
71,28.25247474,0,-21.42638506
72,31.13463078,0,-21.42638506
73,33.5341894,0,-21.42638506
74,35.14423182,0,-21.42638506
75,36.15232422,0,-21.42638506
76,37.05670227,0,-21.42638506
77,38.06930453,0,-21.42638506
78,39.03137151,0,-21.42638506
79,39.56795362,0,-21.42638506
80,39.44936753,0,-21.42638506
81,38.89584727,0,-21.42638506
82,38.0294345,-20.27413937,-1.15534858
83,37.11890794,-83.12397143,61.68486451
84,36.86131602,0,-21.42638506
85,36.34909227,0,-21.42638506
86,35.61479341,0,-21.42638506
87,34.95474731,0,-21.42638506
88,34.37005168,0,-21.42638506
89,33.05706245,-6.082241812,-15.34507412
90,29.51554158,-101.3706969,79.92879735
91,24.50354554,-101.3706969,79.92879735
92,18.91913023,-101.3706969,79.92879735
93,15.07969474,-101.3706969,79.92879735
94,12.73205001,0,-21.42638506
95,10.26895378,0,-21.42638506
96,7.320704833,0,-21.42638506
