times,alternator_currents,battery_currents,velocities
0,-109.634,69.155,0
1,-109.634,69.155,0
2,-109.634,69.155,0
3,-109.634,69.155,0
4,-109.634,69.155,0
5,-98.704,58.584,0
6,-87.88,52.334,0
7,-82.719,47.433,0
8,-78.863,42.9,0
9,-75.865,40.577,0
10,-73.811,37.558,0
11,-76.708,35.253,0
12,-75.976,33.278,0
13,-74.192,31.052,0
14,-82.212,29.593,0
15,-82.23,30.141,0
16,-80.546,28.946,6.14
17,-63.305,27.957,11.4
18,-82.122,27.054,12.38
19,-62.707,27.104,16.2
20,-52.106,26.294,21.12
21,-46.82,26.045,26.78
22,-61.075,25.192,27.06
23,-61.45,24.756,28.82
24,-60.749,24.18,29.6
25,-60.369,24.154,30.54
26,-59.88,23.141,31.36
27,-67.084,22.941,32.02
28,-68.991,22.305,32.86
29,-33.301,5.6,33.6
30,0,-50.52,37.76
31,0,-24.166,41.34
32,0,-24.178,42.14
33,0,-47.096,41.52
34,0,-41.92,41.32
35,0,-42.582,42.34
36,0,-42.92,43.02
37,0,-44.153,42.64
38,-2.174,-41.879,41.42
39,-90.726,47.879,39.32
40,-80.174,40.881,36.04
41,-70.928,31.666,32.78
42,-66.327,25.521,30.52
43,-77.486,28.625,27.62
44,-80.997,26.036,23.62
45,-61.416,22.124,21.22
46,-65.613,24.59,19.1
47,-58.137,19.027,19.38
48,-0.514,-42.822,19.48
49,0,-43.943,19.06
50,0,-45.698,19.86
51,0,-46.057,19.62
52,-82.53,43.872,17.9
53,-68.933,33.866,15.78
54,-61.218,26.521,13.8
55,-46.104,7.657,12.48
56,0,-40.322,12
57,0,-41.159,12.48
58,0,-41.082,13.42
59,0,-41.022,14
60,0,-40.992,14.1
61,0,-41.329,13.9
62,0,-41.723,13.8
63,0,-42.023,14.36
64,0,-43.026,16.06
65,0,-42.656,17.22
66,0,-42.541,16.98
67,0,-43.333,18.2
68,0,-44.195,20.04
69,0,-44.24,22.52
70,-0.194,-43.928,25.42
71,-1.32,-40.296,25.8
72,0,-24.889,29.24
73,-3.579,-44.107,34.02
74,0,-25.03,35.94
75,0,-24.568,36.92
76,-2.655,-43.323,37.94
77,-0.861,-41.187,38.54
78,-1.503,-40.627,39.02
79,-2.045,-40.241,39.02
80,-2.767,-40.583,38.14
81,-4.337,-40.433,36.82
82,-8.309,-37.06,35.3
83,-86.855,45.678,34.32
84,-63.825,24.65,34.52
85,-58.956,20.031,35
86,-56.92,17.057,35.56
87,-69.962,29.275,35.74
88,-53.449,15.176,34.5
89,-49.147,9.814,32.34
90,-46.811,8.965,29.42
91,-82.707,40.453,25.9
92,-82.326,40.149,20.16
93,-75.813,37.191,16.96
94,-70.186,31.367,13.06
95,-73.09,33.405,9.78
96,-67.256,30.874,7.4
97,-60.841,24.242,4.7
98,-49.172,11.284,0
99,-23.53,-16.638,0
100,-0.5,-40.455,0
101,0,-41.666,0
102,0,-41.78,0
103,0,-41.64,0
104,0,-37.961,0
105,0,-37.995,0
106,0,-38.017,0
107,0,-38.264,0
108,0,-37.876,0
109,0,-38.129,0
110,0,-38.753,0
111,0,-38.678,0
112,0,-38.629,0
113,0,-38.588,0
114,0,-38.59,0
115,0,-38.739,0
116,0,-38.539,0
117,0,-38.511,0
118,0,-38.599,0
119,0,-38.677,0
120,-0.334,-37.626,0
121,0,-38.15,0
122,0,-38.677,0
123,0,-38.703,0
124,0,-38.606,0
125,0,-38.652,0
126,0,-38.775,0
127,-0.707,-37.133,0
128,0,-37.815,0
129,0,-38.454,0
130,0,-38.718,0
131,0,-38.668,0
132,0,-38.571,0
133,0,-38.685,0
134,-1.663,-36.477,0
135,-0.726,-37.078,0
136,0,-38.259,0
137,0,-38.573,0
138,0,-38.566,0
139,0,-38.592,0
140,0,-38.424,0
141,-13.524,-22.457,0
142,-62.399,28.104,1.7
143,-56.935,16.979,7.48
144,0,-44.923,13.7
145,-3.499,-39.615,16.4
146,-49.082,10.911,17.92
147,-64.67,29.489,19.74
148,-61.562,24.588,21.06
149,-6.605,-33.222,23.08
150,0,-43.726,25.28
151,-2.425,-41.925,27.26
152,-7.224,-36.564,28.74
153,-9.581,-35.434,29.9
154,-49.961,3.8,29.96
155,-108.767,69.239,27.88
156,-97.746,59.445,23.68
157,-88.66,53.091,19.22
158,-77.804,46.184,16.04
159,-35.812,0.775,13.96
160,-37.103,2.054,12.72
161,-38.678,3.949,13.94
162,-27.132,4.27,17.62
163,-39.223,-0.552,23.2
164,0,-42.325,25.94
165,0,-43.662,26.04
166,0,-44.064,27.26
167,-1.701,-37.707,28.04
168,-62.43,27.516,29.12
169,-40.548,21.742,30.5
170,-35.44,16.671,32.16
171,0,-42.481,34.24
172,0,-43.576,36.06
173,0,-44.39,37.38
174,-54.161,8.617,37.16
175,-100.291,60.655,35.38
176,-85.659,48.811,32.4
177,-77.818,45.053,29.96
178,-62.919,25.566,27.6
179,0,-43.195,24.18
180,0,-39.719,23.44
181,-53.603,18.981,25.72
182,-51.645,15.188,28.26
183,-50.765,12.133,29.44
184,-48.65,10.745,29.22
185,-56.406,15.968,29.46
186,-78.012,42.455,28.34
187,-74.47,39.229,27.1
188,-72.785,37.685,25.84
189,-70.631,36.147,22.72
190,-67.587,34.788,20.52
191,-64.531,33.406,18.26
192,-63.077,31.912,16.28
193,-48.087,16.865,15.22
194,-13.465,-21.603,15.38
