times,OBD rpm,OBD coolant temperatures,OBD engine load,OBD velocities
0,750,24,36.1,0
0.1,750,24,35.86,0
0.2,750,24,35.62,0
0.3,750,24,35.38,0
0.4,750,24,35.14,0
0.5,750,24,34.9,0
0.6,750,24,34.66,0
0.7,750,24,34.42,0
0.8,750,24,34.18,0
0.9,750,24,33.94,0
1,750,24,33.7,0
1.1,750,24,33.35,0
1.2,750,24,33,0
1.3,750,24,32.65,0
1.4,750,24,32.3,0
1.5,750,24,31.95,0
1.6,750,24,31.6,0
1.7,750,24,31.25,0
1.8,750,24,30.9,0
1.9,750,24,30.55,0
2,750,24,30.2,0
2.1,750,24,30.2,0
2.2,750,24,30.2,0
2.3,750,24,30.2,0
2.4,750,24,30.2,0
2.5,750,24,30.2,0
2.6,750,24,30.2,0
2.7,750,24,30.2,0
2.8,750,24,30.2,0
2.9,750,24,30.2,0
3,750,24,30.2,0
3.1,750,24,30.16,0
3.2,750,24,30.12,0
3.3,750,24,30.08,0
3.4,750,24,30.04,0
3.5,750,24,30,0
3.6,750,24,29.96,0
3.7,750,24,29.92,0
3.8,750,24,29.88,0
3.9,750,24,29.84,0
4,750,24,29.8,0
4.1,750,24,29.57,0
4.2,750,24,29.34,0
4.3,750,24,29.11,0
4.4,750,24,28.88,0
4.5,750,24,28.65,0
4.6,750,24,28.42,0
4.7,750,24,28.19,0
4.8,750,24,27.96,0
4.9,750,24,27.73,0
5,750,24,27.5,0
5.1,750,24,27.42,0
5.2,750,24,27.34,0
5.3,750,24,27.26,0
5.4,750,24,27.18,0
5.5,750,24,27.1,0
5.6,750,24,27.02,0
5.7,750,24,26.94,0
5.8,750,24,26.86,0
5.9,750,24,26.78,0
6,750,24,26.7,0
6.1,750,24,26.7,0
6.2,750,24,26.7,0
6.3,750,24,26.7,0
6.4,750,24,26.7,0
6.5,750,24,26.7,0
6.6,750,24,26.7,0
6.7,750,24,26.7,0
6.8,750,24,26.7,0
6.9,750,24,26.7,0
7,750,24,26.7,0
7.1,750,24,26.74,0
7.2,750,24,26.78,0
7.3,750,24,26.82,0
7.4,750,24,26.86,0
7.5,750,24,26.9,0
7.6,750,24,26.94,0
7.7,750,24,26.98,0
7.8,750,24,27.02,0
7.9,750,24,27.06,0
8,750,24,27.1,0
8.1,750,24,27.06,0
8.2,750,24,27.02,0
8.3,750,24,26.98,0
8.4,750,24,26.94,0
8.5,750,24,26.9,0
8.6,750,24,26.86,0
8.7,750,24,26.82,0
8.8,750,24,26.78,0
8.9,750,24,26.74,0
9,750,24,26.7,0
9.1,750,24,26.7,0
9.2,750,24,26.7,0
9.3,750,24,26.7,0
9.4,750,24,26.7,0
9.5,750,24,26.7,0
9.6,750,24,26.7,0
9.7,750,24,26.7,0
9.8,750,24,26.7,0
9.9,750,24,26.7,0
